Title,Status,Category,Open Date
"Boa tarde 
 
Por gentileza , atendimento para verificação do computador material bruto para guardar e captar material bruto de Jornalismo .
 
Necessidade de urgência , temos material pra os jornais da tarde em espera : Globo Esporte , JM2, Red",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 14:34:05
"Boa tarde 
 
Por gentileza , gostaria de atendimento para verificação do computador do material bruto que fica 24 horas ligado . Necessidade de guardar e captar material do Jornalismo .  
 
Se possível com urgência , pois tenho material para o",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 13:48:11
Requisição de periferico - Mouse - Marketing,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-09-10 13:46:20
Visualização as câmeras congelando - Portaria,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 11:18:52
Acesso a Pasta - Trânsito/ Matérias brutas/ Matérias prontas - Trânsito,Solucionado,Tecnologia > Cross > Acesso,2024-09-10 10:52:34
Máquina está apresentando muita lentidão - Produtora,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 10:03:13
microfone estudio,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-10 09:33:31
Monitor muito ruim,Pendente,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-10 08:50:41
Problema Impressora  -  ,Solucionado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-09-10 08:05:16
"o mouse do meu computador está travando...ele foi trocado há pouco tempo, até sábado de manhã tava funcionando perfeitamente. Hoje tá engatando demais. - Redação TV",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-09 17:46:32
Criação de Acesso a VPN Corporativa,Em atendimento,Tecnologia > Cross > Acesso,2024-09-09 16:10:40
Criação de Conta - CONTAS - LICIA ALMEIDA ,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-09-09 15:36:44
Acesso a Pasta - Trânsito  - Trânsito ,Solucionado,Tecnologia > Cross > Acesso,2024-09-09 15:15:21
MAPEAMENTO DO MEU USUÁRIO/COMPUTADOR,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 14:42:58
Validação do Programa da Adobe,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 14:36:09
Email - Criar novo E-mail,Solucionado,Tecnologia > Cross > Acesso,2024-09-09 14:20:06
CRIAÇÃO USUÁRIO DE EDIÇÃO,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 14:01:16
Completar instalação de Capcut - Matheus g1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 09:07:59
"Por ser antiga, minha máquina está apresentando travamentos e lentidões constantes, impedindo a agilização e a condução do trabalho. - Rádio AM",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-09 09:03:25
Acesso a Pasta - Trânsito  - REdação ,Solucionado,Tecnologia > Cross > Acesso,2024-09-07 10:17:05
Audiomaster FM reserva sem espaço em disco,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-06 17:46:17
media monitoring sistem  - CEDOC  - não acesso MMS ,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-09-06 15:35:15
PC Audiomaster Reserva - AM,Em atendimento,Tecnologia > Serviço > NOC > Ajuda e Suporte > Internet e Redes,2024-09-06 15:33:08
Anews -  senha entrada ,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-09-06 15:31:04
Computador não está ligando - Marketing,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-06 14:49:12
Problema com Ramal Jana - Telefone mudo,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-09-06 11:29:22
Usuário de Rede - JOANESBEL SOARES NASCIMENTO SANTANA,Solucionado,Tecnologia > Cross > Acesso,2024-09-05 16:34:39
Não consigo captura censuras das rádios. - Comercial,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-05 14:17:17
Alteração de local do Ramal de comercial vendas para COMERCIAL VENDAS,Solucionado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-09-05 13:53:33
EXCEL,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-05 11:49:30
Solicito a Instalação de Impressora  - 	Marketing,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-09-05 11:02:09
Troca de lâmpada - ,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-09-05 10:59:06
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-09-05 10:31:31
"Acesso a Pasta - As que foram colocadas ontem sumiram. Foram: catalogados, VMIX_Gravacao, C e FM - Mirante FM",Fechado,Tecnologia > Cross > Acesso,2024-09-05 10:06:23
Estou sem internetN,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-05 09:39:55
Telefonia - Outros - Linhas IAD MUDAS	,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-09-05 06:07:19
Anews -  Instalação,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-09-04 17:17:06
Mal contato no cabo do monitor. - Produtora,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-04 15:15:15
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-09-04 10:28:35
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-09-04 10:27:12
INSTALAÇÃO DE PROGRAMAS NO MEU PC DE VENDAS,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-04 10:15:02
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-09-04 09:51:37
Acesso a Pasta - Catalogados - Mirante FM,Fechado,Tecnologia > Cross > Acesso,2024-09-04 09:44:58
SLZ-OPJ-20,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Contas e Acessos,2024-09-03 16:56:42
Formatar máquina ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Softwares e Aplicativos,2024-09-03 16:54:03
extensão do OPERA  - CEDOC - TV MIRANTE - OPERAÇÕES JORNALISMO  - Instalação da extensão ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-09-03 16:22:31
